temperature[F],precipitation[cm/hour],wind[km/hour],j,d_j
30.2,1.51,4.25,10,137
22.0,56.2,2.85,1,124
22.0,56.2,2.85,2,96
22.0,56.2,2.85,3,84
22.0,56.2,2.85,4,94
22.0,56.2,2.85,5,121
22.0,56.2,2.85,6,111
22.0,56.2,2.85,7,76
22.0,56.2,2.85,8,139
22.0,56.2,2.85,9,148
22.0,56.2,2.85,10,97
61.9,59.51,0.51,1,162
61.9,59.51,0.51,2,139
61.9,59.51,0.51,3,124
61.9,59.51,0.51,4,119
61.9,59.51,0.51,5,173
61.9,59.51,0.51,6,167
61.9,59.51,0.51,7,109
61.9,59.51,0.51,8,199
61.9,59.51,0.51,9,211
61.9,59.51,0.51,10,139
42.9,6.18,3.54,1,176
42.9,6.18,3.54,2,153
42.9,6.18,3.54,3,125
42.9,6.18,3.54,4,133
42.9,6.18,3.54,5,190
42.9,6.18,3.54,6,175
42.9,6.18,3.54,7,117
42.9,6.18,3.54,8,208
42.9,6.18,3.54,9,230
42.9,6.18,3.54,10,152
87.8,27.1,2.49,1,213
87.8,27.1,2.49,2,186
87.8,27.1,2.49,3,153
87.8,27.1,2.49,4,167
87.8,27.1,2.49,5,223
87.8,27.1,2.49,6,213
87.8,27.1,2.49,7,138
87.8,27.1,2.49,8,250
87.8,27.1,2.49,9,270
87.8,27.1,2.49,10,181
99.9,53.86,2.8,1,190
99.9,53.86,2.8,2,163
99.9,53.86,2.8,3,137
99.9,53.86,2.8,4,141
99.9,53.86,2.8,5,205
99.9,53.86,2.8,6,182
99.9,53.86,2.8,7,131
99.9,53.86,2.8,8,222
99.9,53.86,2.8,9,235
99.9,53.86,2.8,10,154
67.2,25.02,1.29,1,207
67.2,25.02,1.29,2,178
67.2,25.02,1.29,3,147
67.2,25.02,1.29,4,150
67.2,25.02,1.29,5,220
67.2,25.02,1.29,6,206
67.2,25.02,1.29,7,137
67.2,25.02,1.29,8,241
67.2,25.02,1.29,9,265
67.2,25.02,1.29,10,165
70.1,10.8,1.52,1,224
70.1,10.8,1.52,2,187
70.1,10.8,1.52,3,167
70.1,10.8,1.52,4,165
70.1,10.8,1.52,5,230
70.1,10.8,1.52,6,219
70.1,10.8,1.52,7,149
70.1,10.8,1.52,8,265
70.1,10.8,1.52,9,283
70.1,10.8,1.52,10,185
72.7,33.71,3.93,1,178
72.7,33.71,3.93,2,155
72.7,33.71,3.93,3,125
72.7,33.71,3.93,4,137
72.7,33.71,3.93,5,191
72.7,33.71,3.93,6,180
72.7,33.71,3.93,7,116
72.7,33.71,3.93,8,207
72.7,33.71,3.93,9,224
72.7,33.71,3.93,10,150
51.4,40.79,2.63,1,165
51.4,40.79,2.63,2,133
51.4,40.79,2.63,3,114
51.4,40.79,2.63,4,119
51.4,40.79,2.63,5,170
51.4,40.79,2.63,6,161
51.4,40.79,2.63,7,101
51.4,40.79,2.63,8,196
51.4,40.79,2.63,9,208
51.4,40.79,2.63,10,136
50.8,59.92,3.71,1,140
50.8,59.92,3.71,2,109
50.8,59.92,3.71,3,92
50.8,59.92,3.71,4,106
50.8,59.92,3.71,5,146
50.8,59.92,3.71,6,133
50.8,59.92,3.71,7,88
50.8,59.92,3.71,8,155
50.8,59.92,3.71,9,170
50.8,59.92,3.71,10,111
58.4,32.28,4.09,1,167
58.4,32.28,4.09,2,135
58.4,32.28,4.09,3,123
58.4,32.28,4.09,4,119
58.4,32.28,4.09,5,173
58.4,32.28,4.09,6,164
58.4,32.28,4.09,7,110
58.4,32.28,4.09,8,192
58.4,32.28,4.09,9,213
58.4,32.28,4.09,10,132
36.8,51.05,3.21,1,135
36.8,51.05,3.21,2,112
36.8,51.05,3.21,3,93
36.8,51.05,3.21,4,95
36.8,51.05,3.21,5,138
36.8,51.05,3.21,6,131
36.8,51.05,3.21,7,83
36.8,51.05,3.21,8,156
36.8,51.05,3.21,9,165
36.8,51.05,3.21,10,114
26.2,52.42,2.9,1,126
26.2,52.42,2.9,2,111
26.2,52.42,2.9,3,95
26.2,52.42,2.9,4,96
26.2,52.42,2.9,5,130
26.2,52.42,2.9,6,122
26.2,52.42,2.9,7,79
26.2,52.42,2.9,8,144
26.2,52.42,2.9,9,152
26.2,52.42,2.9,10,98
32.2,58.21,3.56,1,126
32.2,58.21,3.56,2,106
32.2,58.21,3.56,3,89
32.2,58.21,3.56,4,91
32.2,58.21,3.56,5,132
32.2,58.21,3.56,6,120
32.2,58.21,3.56,7,82
32.2,58.21,3.56,8,149
32.2,58.21,3.56,9,155
32.2,58.21,3.56,10,105
29.3,16.01,3.82,1,152
29.3,16.01,3.82,2,134
29.3,16.01,3.82,3,111
29.3,16.01,3.82,4,116
29.3,16.01,3.82,5,158
29.3,16.01,3.82,6,149
29.3,16.01,3.82,7,98
29.3,16.01,3.82,8,182
29.3,16.01,3.82,9,194
29.3,16.01,3.82,10,127
61.4,1.91,1.38,1,225
61.4,1.91,1.38,2,186
61.4,1.91,1.38,3,160
61.4,1.91,1.38,4,165
61.4,1.91,1.38,5,240
61.4,1.91,1.38,6,216
61.4,1.91,1.38,7,149
61.4,1.91,1.38,8,262
61.4,1.91,1.38,9,280
61.4,1.91,1.38,10,185
94.3,59.27,0.74,1,193
94.3,59.27,0.74,2,161
94.3,59.27,0.74,3,140
94.3,59.27,0.74,4,147
94.3,59.27,0.74,5,207
94.3,59.27,0.74,6,189
94.3,59.27,0.74,7,126
94.3,59.27,0.74,8,236
94.3,59.27,0.74,9,244
94.3,59.27,0.74,10,166
72.9,10.06,4.87,1,198
72.9,10.06,4.87,2,166
72.9,10.06,4.87,3,139
72.9,10.06,4.87,4,146
72.9,10.06,4.87,5,209
72.9,10.06,4.87,6,196
72.9,10.06,4.87,7,127
72.9,10.06,4.87,8,230
72.9,10.06,4.87,9,246
72.9,10.06,4.87,10,160
28.2,34.46,0.5,1,154
28.2,34.46,0.5,2,136
28.2,34.46,0.5,3,119
28.2,34.46,0.5,4,120
28.2,34.46,0.5,5,163
28.2,34.46,0.5,6,151
28.2,34.46,0.5,7,104
28.2,34.46,0.5,8,188
28.2,34.46,0.5,9,193
28.2,34.46,0.5,10,126
63.2,11.55,2.25,1,215
63.2,11.55,2.25,2,174
63.2,11.55,2.25,3,156
63.2,11.55,2.25,4,151
63.2,11.55,2.25,5,217
63.2,11.55,2.25,6,199
63.2,11.55,2.25,7,137
63.2,11.55,2.25,8,244
63.2,11.55,2.25,9,260
63.2,11.55,2.25,10,172
83.7,34.65,4.13,1,189
83.7,34.65,4.13,2,159
83.7,34.65,4.13,3,139
83.7,34.65,4.13,4,136
83.7,34.65,4.13,5,197
83.7,34.65,4.13,6,188
83.7,34.65,4.13,7,122
83.7,34.65,4.13,8,222
83.7,34.65,4.13,9,240
83.7,34.65,4.13,10,157
16.5,33.18,2.97,1,132
16.5,33.18,2.97,2,106
16.5,33.18,2.97,3,94
16.5,33.18,2.97,4,100
16.5,33.18,2.97,5,137
16.5,33.18,2.97,6,123
16.5,33.18,2.97,7,83
16.5,33.18,2.97,8,151
16.5,33.18,2.97,9,166
16.5,33.18,2.97,10,113
42.3,53.4,2.62,1,137
42.3,53.4,2.62,2,119
42.3,53.4,2.62,3,104
42.3,53.4,2.62,4,101
42.3,53.4,2.62,5,144
42.3,53.4,2.62,6,138
42.3,53.4,2.62,7,96
42.3,53.4,2.62,8,167
42.3,53.4,2.62,9,177
42.3,53.4,2.62,10,117
31.0,25.15,1.64,1,164
31.0,25.15,1.64,2,140
31.0,25.15,1.64,3,120
31.0,25.15,1.64,4,125
31.0,25.15,1.64,5,172
31.0,25.15,1.64,6,161
31.0,25.15,1.64,7,112
31.0,25.15,1.64,8,190
31.0,25.15,1.64,9,201
31.0,25.15,1.64,10,136
72.9,8.0,3.94,1,205
72.9,8.0,3.94,2,178
72.9,8.0,3.94,3,154
72.9,8.0,3.94,4,155
72.9,8.0,3.94,5,212
72.9,8.0,3.94,6,201
72.9,8.0,3.94,7,140
72.9,8.0,3.94,8,241
72.9,8.0,3.94,9,258
72.9,8.0,3.94,10,176
42.1,54.84,4.23,1,125
42.1,54.84,4.23,2,111
42.1,54.84,4.23,3,92
42.1,54.84,4.23,4,96
42.1,54.84,4.23,5,132
42.1,54.84,4.23,6,122
42.1,54.84,4.23,7,85
42.1,54.84,4.23,8,150
42.1,54.84,4.23,9,160
42.1,54.84,4.23,10,109
49.2,15.37,1.94,1,192
49.2,15.37,1.94,2,161
49.2,15.37,1.94,3,133
49.2,15.37,1.94,4,141
49.2,15.37,1.94,5,202
49.2,15.37,1.94,6,183
49.2,15.37,1.94,7,128
49.2,15.37,1.94,8,228
49.2,15.37,1.94,9,238
49.2,15.37,1.94,10,155
77.6,35.56,0.98,1,209
77.6,35.56,0.98,2,178
77.6,35.56,0.98,3,146
77.6,35.56,0.98,4,152
77.6,35.56,0.98,5,213
77.6,35.56,0.98,6,203
77.6,35.56,0.98,7,133
77.6,35.56,0.98,8,245
77.6,35.56,0.98,9,258
77.6,35.56,0.98,10,171
33.0,53.59,2.32,1,132
33.0,53.59,2.32,2,110
33.0,53.59,2.32,3,97
33.0,53.59,2.32,4,100
33.0,53.59,2.32,5,142
33.0,53.59,2.32,6,131
33.0,53.59,2.32,7,83
33.0,53.59,2.32,8,160
33.0,53.59,2.32,9,164
33.0,53.59,2.32,10,112
44.0,17.2,3.99,1,164
44.0,17.2,3.99,2,140
44.0,17.2,3.99,3,122
44.0,17.2,3.99,4,125
44.0,17.2,3.99,5,169
44.0,17.2,3.99,6,164
44.0,17.2,3.99,7,104
44.0,17.2,3.99,8,193
44.0,17.2,3.99,9,204
44.0,17.2,3.99,10,136
59.9,15.99,4.25,1,178
59.9,15.99,4.25,2,156
59.9,15.99,4.25,3,128
59.9,15.99,4.25,4,135
59.9,15.99,4.25,5,194
59.9,15.99,4.25,6,177
59.9,15.99,4.25,7,123
59.9,15.99,4.25,8,218
59.9,15.99,4.25,9,224
59.9,15.99,4.25,10,154
37.1,27.65,1.29,1,170
37.1,27.65,1.29,2,145
37.1,27.65,1.29,3,121
37.1,27.65,1.29,4,125
37.1,27.65,1.29,5,178
37.1,27.65,1.29,6,170
37.1,27.65,1.29,7,116
37.1,27.65,1.29,8,202
37.1,27.65,1.29,9,212
37.1,27.65,1.29,10,135
84.4,20.83,3.37,1,218
84.4,20.83,3.37,2,177
84.4,20.83,3.37,3,152
84.4,20.83,3.37,4,162
84.4,20.83,3.37,5,224
84.4,20.83,3.37,6,204
84.4,20.83,3.37,7,134
84.4,20.83,3.37,8,250
84.4,20.83,3.37,9,269
84.4,20.83,3.37,10,175
50.3,23.66,0.56,1,191
50.3,23.66,0.56,2,162
50.3,23.66,0.56,3,138
50.3,23.66,0.56,4,146
50.3,23.66,0.56,5,208
50.3,23.66,0.56,6,193
50.3,23.66,0.56,7,126
50.3,23.66,0.56,8,230
50.3,23.66,0.56,9,246
50.3,23.66,0.56,10,157
15.6,38.19,4.91,1,113
15.6,38.19,4.91,2,102
15.6,38.19,4.91,3,80
15.6,38.19,4.91,4,86
15.6,38.19,4.91,5,118
15.6,38.19,4.91,6,110
15.6,38.19,4.91,7,76
15.6,38.19,4.91,8,135
15.6,38.19,4.91,9,142
15.6,38.19,4.91,10,97
58.8,40.38,3.53,1,161
58.8,40.38,3.53,2,133
58.8,40.38,3.53,3,114
58.8,40.38,3.53,4,121
58.8,40.38,3.53,5,168
58.8,40.38,3.53,6,160
58.8,40.38,3.53,7,107
58.8,40.38,3.53,8,195
58.8,40.38,3.53,9,204
58.8,40.38,3.53,10,130
88.4,56.92,1.39,1,191
88.4,56.92,1.39,2,154
88.4,56.92,1.39,3,137
88.4,56.92,1.39,4,145
88.4,56.92,1.39,5,193
88.4,56.92,1.39,6,183
88.4,56.92,1.39,7,121
88.4,56.92,1.39,8,227
88.4,56.92,1.39,9,241
88.4,56.92,1.39,10,154
96.3,53.37,1.61,1,202
96.3,53.37,1.61,2,166
96.3,53.37,1.61,3,144
96.3,53.37,1.61,4,146
96.3,53.37,1.61,5,211
96.3,53.37,1.61,6,193
96.3,53.37,1.61,7,132
96.3,53.37,1.61,8,229
96.3,53.37,1.61,9,254
96.3,53.37,1.61,10,163
86.8,44.45,0.97,1,213
86.8,44.45,0.97,2,169
86.8,44.45,0.97,3,149
86.8,44.45,0.97,4,159
86.8,44.45,0.97,5,212
86.8,44.45,0.97,6,205
86.8,44.45,0.97,7,136
86.8,44.45,0.97,8,249
86.8,44.45,0.97,9,256
86.8,44.45,0.97,10,169
86.0,28.62,0.24,1,235
86.0,28.62,0.24,2,200
86.0,28.62,0.24,3,167
86.0,28.62,0.24,4,179
86.0,28.62,0.24,5,245
86.0,28.62,0.24,6,228
86.0,28.62,0.24,7,159
86.0,28.62,0.24,8,280
86.0,28.62,0.24,9,297
86.0,28.62,0.24,10,194
83.3,2.02,3.21,1,233
83.3,2.02,3.21,2,201
83.3,2.02,3.21,3,169
83.3,2.02,3.21,4,179
83.3,2.02,3.21,5,243
83.3,2.02,3.21,6,229
83.3,2.02,3.21,7,152
83.3,2.02,3.21,8,271
83.3,2.02,3.21,9,295
83.3,2.02,3.21,10,198
69.8,27.31,4.93,1,181
69.8,27.31,4.93,2,146
69.8,27.31,4.93,3,128
69.8,27.31,4.93,4,132
69.8,27.31,4.93,5,187
69.8,27.31,4.93,6,167
69.8,27.31,4.93,7,111
69.8,27.31,4.93,8,208
69.8,27.31,4.93,9,225
69.8,27.31,4.93,10,146
43.5,9.95,1.69,1,197
43.5,9.95,1.69,2,157
43.5,9.95,1.69,3,142
43.5,9.95,1.69,4,142
43.5,9.95,1.69,5,203
43.5,9.95,1.69,6,187
43.5,9.95,1.69,7,121
43.5,9.95,1.69,8,223
43.5,9.95,1.69,9,240
43.5,9.95,1.69,10,156
65.7,35.55,4.55,1,171
65.7,35.55,4.55,2,136
65.7,35.55,4.55,3,117
65.7,35.55,4.55,4,129
65.7,35.55,4.55,5,168
65.7,35.55,4.55,6,164
65.7,35.55,4.55,7,109
65.7,35.55,4.55,8,197
65.7,35.55,4.55,9,210
65.7,35.55,4.55,10,136
15.5,2.91,3.95,1,143
15.5,2.91,3.95,2,123
15.5,2.91,3.95,3,102
15.5,2.91,3.95,4,113
15.5,2.91,3.95,5,149
15.5,2.91,3.95,6,139
15.5,2.91,3.95,7,96
15.5,2.91,3.95,8,173
15.5,2.91,3.95,9,185
15.5,2.91,3.95,10,116
75.5,55.26,2.36,1,174
75.5,55.26,2.36,2,140
75.5,55.26,2.36,3,128
75.5,55.26,2.36,4,127
75.5,55.26,2.36,5,183
75.5,55.26,2.36,6,164
75.5,55.26,2.36,7,107
75.5,55.26,2.36,8,197
75.5,55.26,2.36,9,211
75.5,55.26,2.36,10,136
82.9,12.09,4.8,1,211
82.9,12.09,4.8,2,178
82.9,12.09,4.8,3,149
82.9,12.09,4.8,4,159
82.9,12.09,4.8,5,218
82.9,12.09,4.8,6,203
82.9,12.09,4.8,7,135
82.9,12.09,4.8,8,238
82.9,12.09,4.8,9,260
82.9,12.09,4.8,10,175
60.7,18.54,1.38,1,206
60.7,18.54,1.38,2,178
60.7,18.54,1.38,3,152
60.7,18.54,1.38,4,152
60.7,18.54,1.38,5,213
60.7,18.54,1.38,6,198
60.7,18.54,1.38,7,138
60.7,18.54,1.38,8,238
60.7,18.54,1.38,9,261
60.7,18.54,1.38,10,175
67.1,17.86,4.72,1,183
67.1,17.86,4.72,2,150
67.1,17.86,4.72,3,128
67.1,17.86,4.72,4,136
67.1,17.86,4.72,5,196
67.1,17.86,4.72,6,174
67.1,17.86,4.72,7,118
67.1,17.86,4.72,8,219
67.1,17.86,4.72,9,226
67.1,17.86,4.72,10,148
76.9,58.77,3.06,1,166
76.9,58.77,3.06,2,135
76.9,58.77,3.06,3,118
76.9,58.77,3.06,4,120
76.9,58.77,3.06,5,169
76.9,58.77,3.06,6,153
76.9,58.77,3.06,7,105
76.9,58.77,3.06,8,191
76.9,58.77,3.06,9,209
76.9,58.77,3.06,10,133
37.3,12.18,4.58,1,163
37.3,12.18,4.58,2,130
37.3,12.18,4.58,3,113
37.3,12.18,4.58,4,124
37.3,12.18,4.58,5,166
37.3,12.18,4.58,6,154
37.3,12.18,4.58,7,108
37.3,12.18,4.58,8,187
37.3,12.18,4.58,9,199
37.3,12.18,4.58,10,127
63.9,0.35,1.54,1,225
63.9,0.35,1.54,2,191
63.9,0.35,1.54,3,168
63.9,0.35,1.54,4,169
63.9,0.35,1.54,5,234
63.9,0.35,1.54,6,222
63.9,0.35,1.54,7,149
63.9,0.35,1.54,8,268
63.9,0.35,1.54,9,284
63.9,0.35,1.54,10,189
71.6,6.63,0.72,1,240
71.6,6.63,0.72,2,204
71.6,6.63,0.72,3,175
71.6,6.63,0.72,4,184
71.6,6.63,0.72,5,246
71.6,6.63,0.72,6,230
71.6,6.63,0.72,7,153
71.6,6.63,0.72,8,287
71.6,6.63,0.72,9,305
71.6,6.63,0.72,10,194
95.8,9.9,2.56,1,248
95.8,9.9,2.56,2,204
95.8,9.9,2.56,3,182
95.8,9.9,2.56,4,181
95.8,9.9,2.56,5,262
95.8,9.9,2.56,6,240
95.8,9.9,2.56,7,157
95.8,9.9,2.56,8,286
95.8,9.9,2.56,9,309
95.8,9.9,2.56,10,200
36.2,4.98,1.53,1,190
36.2,4.98,1.53,2,164
36.2,4.98,1.53,3,141
36.2,4.98,1.53,4,145
36.2,4.98,1.53,5,195
36.2,4.98,1.53,6,180
36.2,4.98,1.53,7,128
36.2,4.98,1.53,8,222
36.2,4.98,1.53,9,237
36.2,4.98,1.53,10,153
28.0,22.12,0.81,1,166
28.0,22.12,0.81,2,143
28.0,22.12,0.81,3,117
28.0,22.12,0.81,4,122
28.0,22.12,0.81,5,177
28.0,22.12,0.81,6,166
28.0,22.12,0.81,7,110
28.0,22.12,0.81,8,201
28.0,22.12,0.81,9,209
28.0,22.12,0.81,10,134
70.3,53.95,2.25,1,171
70.3,53.95,2.25,2,142
70.3,53.95,2.25,3,122
70.3,53.95,2.25,4,126
70.3,53.95,2.25,5,177
70.3,53.95,2.25,6,159
70.3,53.95,2.25,7,115
70.3,53.95,2.25,8,195
70.3,53.95,2.25,9,207
70.3,53.95,2.25,10,138
28.9,54.54,3.72,1,127
28.9,54.54,3.72,2,97
28.9,54.54,3.72,3,83
28.9,54.54,3.72,4,90
28.9,54.54,3.72,5,121
28.9,54.54,3.72,6,116
28.9,54.54,3.72,7,78
28.9,54.54,3.72,8,147
28.9,54.54,3.72,9,153
28.9,54.54,3.72,10,105
19.8,46.35,1.74,1,129
19.8,46.35,1.74,2,105
19.8,46.35,1.74,3,97
19.8,46.35,1.74,4,102
19.8,46.35,1.74,5,138
19.8,46.35,1.74,6,127
19.8,46.35,1.74,7,90
19.8,46.35,1.74,8,158
19.8,46.35,1.74,9,159
19.8,46.35,1.74,10,110
97.9,36.89,1.39,1,230
97.9,36.89,1.39,2,187
97.9,36.89,1.39,3,158
97.9,36.89,1.39,4,169
97.9,36.89,1.39,5,238
97.9,36.89,1.39,6,224
97.9,36.89,1.39,7,153
97.9,36.89,1.39,8,267
97.9,36.89,1.39,9,285
97.9,36.89,1.39,10,190
78.0,4.74,3.89,1,217
78.0,4.74,3.89,2,186
78.0,4.74,3.89,3,159
78.0,4.74,3.89,4,160
78.0,4.74,3.89,5,228
78.0,4.74,3.89,6,208
78.0,4.74,3.89,7,145
78.0,4.74,3.89,8,255
78.0,4.74,3.89,9,277
78.0,4.74,3.89,10,180
17.8,44.7,0.74,1,139
17.8,44.7,0.74,2,119
17.8,44.7,0.74,3,97
17.8,44.7,0.74,4,104
17.8,44.7,0.74,5,146
17.8,44.7,0.74,6,129
17.8,44.7,0.74,7,86
17.8,44.7,0.74,8,160
17.8,44.7,0.74,9,169
17.8,44.7,0.74,10,109
97.8,15.18,0.31,1,266
97.8,15.18,0.31,2,226
97.8,15.18,0.31,3,191
97.8,15.18,0.31,4,204
97.8,15.18,0.31,5,277
97.8,15.18,0.31,6,260
97.8,15.18,0.31,7,173
97.8,15.18,0.31,8,317
97.8,15.18,0.31,9,331
97.8,15.18,0.31,10,225
19.7,13.97,3.07,1,147
19.7,13.97,3.07,2,127
19.7,13.97,3.07,3,110
19.7,13.97,3.07,4,114
19.7,13.97,3.07,5,160
19.7,13.97,3.07,6,143
19.7,13.97,3.07,7,100
19.7,13.97,3.07,8,176
19.7,13.97,3.07,9,182
19.7,13.97,3.07,10,120
31.4,26.29,1.86,1,163
31.4,26.29,1.86,2,132
31.4,26.29,1.86,3,120
31.4,26.29,1.86,4,117
31.4,26.29,1.86,5,172
31.4,26.29,1.86,6,158
31.4,26.29,1.86,7,100
31.4,26.29,1.86,8,187
31.4,26.29,1.86,9,200
31.4,26.29,1.86,10,129
40.8,21.16,1.99,1,178
40.8,21.16,1.99,2,149
40.8,21.16,1.99,3,124
40.8,21.16,1.99,4,133
40.8,21.16,1.99,5,180
40.8,21.16,1.99,6,173
40.8,21.16,1.99,7,114
40.8,21.16,1.99,8,206
40.8,21.16,1.99,9,217
40.8,21.16,1.99,10,147
59.7,30.03,3.6,1,176
59.7,30.03,3.6,2,143
59.7,30.03,3.6,3,123
59.7,30.03,3.6,4,134
59.7,30.03,3.6,5,183
59.7,30.03,3.6,6,173
59.7,30.03,3.6,7,113
59.7,30.03,3.6,8,204
59.7,30.03,3.6,9,218
59.7,30.03,3.6,10,140
49.3,19.28,0.71,1,193
49.3,19.28,0.71,2,171
49.3,19.28,0.71,3,146
49.3,19.28,0.71,4,142
49.3,19.28,0.71,5,202
49.3,19.28,0.71,6,187
49.3,19.28,0.71,7,134
49.3,19.28,0.71,8,237
49.3,19.28,0.71,9,246
49.3,19.28,0.71,10,167
63.5,28.82,3.66,1,175
63.5,28.82,3.66,2,148
63.5,28.82,3.66,3,132
63.5,28.82,3.66,4,135
63.5,28.82,3.66,5,186
63.5,28.82,3.66,6,174
63.5,28.82,3.66,7,120
63.5,28.82,3.66,8,205
63.5,28.82,3.66,9,229
63.5,28.82,3.66,10,149
42.8,53.26,2.74,1,141
42.8,53.26,2.74,2,124
42.8,53.26,2.74,3,98
42.8,53.26,2.74,4,105
42.8,53.26,2.74,5,150
42.8,53.26,2.74,6,139
42.8,53.26,2.74,7,91
42.8,53.26,2.74,8,161
42.8,53.26,2.74,9,177
42.8,53.26,2.74,10,112
19.1,31.46,2.24,1,143
19.1,31.46,2.24,2,120
19.1,31.46,2.24,3,105
19.1,31.46,2.24,4,105
19.1,31.46,2.24,5,147
19.1,31.46,2.24,6,132
19.1,31.46,2.24,7,89
19.1,31.46,2.24,8,167
19.1,31.46,2.24,9,177
19.1,31.46,2.24,10,119
80.6,11.88,4.33,1,210
80.6,11.88,4.33,2,173
80.6,11.88,4.33,3,148
80.6,11.88,4.33,4,153
80.6,11.88,4.33,5,221
80.6,11.88,4.33,6,198
80.6,11.88,4.33,7,141
80.6,11.88,4.33,8,250
80.6,11.88,4.33,9,262
80.6,11.88,4.33,10,173
49.4,49.03,2.91,1,151
49.4,49.03,2.91,2,121
49.4,49.03,2.91,3,104
49.4,49.03,2.91,4,111
49.4,49.03,2.91,5,159
49.4,49.03,2.91,6,144
49.4,49.03,2.91,7,102
49.4,49.03,2.91,8,181
49.4,49.03,2.91,9,192
49.4,49.03,2.91,10,124
16.8,15.1,3.45,1,146
16.8,15.1,3.45,2,115
16.8,15.1,3.45,3,107
16.8,15.1,3.45,4,103
16.8,15.1,3.45,5,144
16.8,15.1,3.45,6,139
16.8,15.1,3.45,7,91
16.8,15.1,3.45,8,170
16.8,15.1,3.45,9,178
16.8,15.1,3.45,10,120
74.7,51.38,2.45,1,176
74.7,51.38,2.45,2,147
74.7,51.38,2.45,3,130
74.7,51.38,2.45,4,131
74.7,51.38,2.45,5,178
74.7,51.38,2.45,6,167
74.7,51.38,2.45,7,109
74.7,51.38,2.45,8,208
74.7,51.38,2.45,9,221
74.7,51.38,2.45,10,145
41.3,46.66,4.85,1,133
41.3,46.66,4.85,2,110
41.3,46.66,4.85,3,91
41.3,46.66,4.85,4,94
41.3,46.66,4.85,5,142
41.3,46.66,4.85,6,123
41.3,46.66,4.85,7,83
41.3,46.66,4.85,8,159
41.3,46.66,4.85,9,168
41.3,46.66,4.85,10,113
84.6,17.92,4.58,1,203
84.6,17.92,4.58,2,167
84.6,17.92,4.58,3,148
84.6,17.92,4.58,4,151
84.6,17.92,4.58,5,211
84.6,17.92,4.58,6,198
84.6,17.92,4.58,7,138
84.6,17.92,4.58,8,242
84.6,17.92,4.58,9,257
84.6,17.92,4.58,10,165
81.1,50.69,2.71,1,177
81.1,50.69,2.71,2,152
81.1,50.69,2.71,3,132
81.1,50.69,2.71,4,129
81.1,50.69,2.71,5,192
81.1,50.69,2.71,6,171
81.1,50.69,2.71,7,113
81.1,50.69,2.71,8,209
81.1,50.69,2.71,9,230
81.1,50.69,2.71,10,148
84.8,59.53,1.81,1,178
84.8,59.53,1.81,2,147
84.8,59.53,1.81,3,134
84.8,59.53,1.81,4,129
84.8,59.53,1.81,5,183
84.8,59.53,1.81,6,174
84.8,59.53,1.81,7,118
84.8,59.53,1.81,8,207
84.8,59.53,1.81,9,220
84.8,59.53,1.81,10,144
81.7,44.62,0.68,1,209
81.7,44.62,0.68,2,177
81.7,44.62,0.68,3,146
81.7,44.62,0.68,4,148
81.7,44.62,0.68,5,215
81.7,44.62,0.68,6,203
81.7,44.62,0.68,7,132
81.7,44.62,0.68,8,243
81.7,44.62,0.68,9,251
81.7,44.62,0.68,10,168
13.3,33.58,4.26,1,119
13.3,33.58,4.26,2,100
13.3,33.58,4.26,3,85
13.3,33.58,4.26,4,94
13.3,33.58,4.26,5,127
13.3,33.58,4.26,6,119
13.3,33.58,4.26,7,81
13.3,33.58,4.26,8,146
13.3,33.58,4.26,9,151
13.3,33.58,4.26,10,96
60.9,8.83,3.01,1,205
60.9,8.83,3.01,2,175
60.9,8.83,3.01,3,150
60.9,8.83,3.01,4,156
60.9,8.83,3.01,5,209
60.9,8.83,3.01,6,192
60.9,8.83,3.01,7,133
60.9,8.83,3.01,8,236
60.9,8.83,3.01,9,259
60.9,8.83,3.01,10,164
16.5,18.34,0.51,1,155
16.5,18.34,0.51,2,131
16.5,18.34,0.51,3,111
16.5,18.34,0.51,4,119
16.5,18.34,0.51,5,162
16.5,18.34,0.51,6,151
16.5,18.34,0.51,7,99
16.5,18.34,0.51,8,184
16.5,18.34,0.51,9,198
16.5,18.34,0.51,10,129
70.5,12.85,2.31,1,218
70.5,12.85,2.31,2,186
70.5,12.85,2.31,3,155
70.5,12.85,2.31,4,158
70.5,12.85,2.31,5,222
70.5,12.85,2.31,6,208
70.5,12.85,2.31,7,145
70.5,12.85,2.31,8,250
70.5,12.85,2.31,9,274
70.5,12.85,2.31,10,180
71.3,59.59,2.08,1,164
71.3,59.59,2.08,2,133
71.3,59.59,2.08,3,120
71.3,59.59,2.08,4,128
71.3,59.59,2.08,5,174
71.3,59.59,2.08,6,160
71.3,59.59,2.08,7,109
71.3,59.59,2.08,8,191
71.3,59.59,2.08,9,209
71.3,59.59,2.08,10,140
10.4,5.53,2.27,1,152
10.4,5.53,2.27,2,126
10.4,5.53,2.27,3,113
10.4,5.53,2.27,4,110
10.4,5.53,2.27,5,162
10.4,5.53,2.27,6,144
10.4,5.53,2.27,7,102
10.4,5.53,2.27,8,180
10.4,5.53,2.27,9,187
10.4,5.53,2.27,10,121
78.3,4.57,2.29,1,231
78.3,4.57,2.29,2,199
78.3,4.57,2.29,3,167
78.3,4.57,2.29,4,178
78.3,4.57,2.29,5,243
78.3,4.57,2.29,6,228
78.3,4.57,2.29,7,149
78.3,4.57,2.29,8,278
78.3,4.57,2.29,9,298
78.3,4.57,2.29,10,190
13.9,52.5,2.68,1,120
13.9,52.5,2.68,2,96
