temperature[F],precipitation[cm/hour],wind[km/hour],i,j,duration[min]
54.8,27.23,4.45,3,5,23.36
54.8,27.23,4.45,3,6,33.79
54.8,27.23,4.45,3,8,19.16
54.8,27.23,4.45,3,9,19.25
54.8,27.23,4.45,3,10,28.7
54.8,27.23,4.45,4,7,19.94
54.8,27.23,4.45,4,8,22.16
54.8,27.23,4.45,4,10,14.55
54.8,27.23,4.45,5,6,27.14
54.8,27.23,4.45,5,9,26.73
54.8,27.23,4.45,7,8,20.96
54.8,27.23,4.45,7,10,12.27
54.8,27.23,4.45,8,10,8.95
76.0,45.85,4.98,0,1,13.27
76.0,45.85,4.98,0,2,38.72
76.0,45.85,4.98,0,3,9.75
76.0,45.85,4.98,0,5,38.43
76.0,45.85,4.98,0,7,32.53
76.0,45.85,4.98,0,8,24.86
76.0,45.85,4.98,0,9,30.99
76.0,45.85,4.98,0,10,27.98
76.0,45.85,4.98,1,2,27.45
76.0,45.85,4.98,1,3,17.77
76.0,45.85,4.98,1,5,34.84
76.0,45.85,4.98,1,7,38.89
76.0,45.85,4.98,1,8,32.89
76.0,45.85,4.98,1,9,9.66
76.0,45.85,4.98,1,10,31.5
76.0,45.85,4.98,2,7,26.02
76.0,45.85,4.98,2,9,22.69
76.0,45.85,4.98,2,10,47.82
76.0,45.85,4.98,3,5,28.54
76.0,45.85,4.98,3,6,41.44
76.0,45.85,4.98,3,8,22.96
76.0,45.85,4.98,3,9,20.86
76.0,45.85,4.98,3,10,38.47
76.0,45.85,4.98,4,7,23.85
76.0,45.85,4.98,4,8,26.77
76.0,45.85,4.98,4,10,15.27
76.0,45.85,4.98,5,6,33.87
76.0,45.85,4.98,5,9,36.59
76.0,45.85,4.98,7,8,28.53
76.0,45.85,4.98,7,10,17.65
76.0,45.85,4.98,8,10,10.93
80.8,34.9,3.52,0,1,11.9
80.8,34.9,3.52,0,2,34.04
80.8,34.9,3.52,0,3,7.41
80.8,34.9,3.52,0,5,27.96
80.8,34.9,3.52,0,7,28.61
80.8,34.9,3.52,0,8,19.06
80.8,34.9,3.52,0,9,20.02
80.8,34.9,3.52,0,10,19.6
80.8,34.9,3.52,1,2,22.34
80.8,34.9,3.52,1,3,14.95
80.8,34.9,3.52,1,5,28.02
80.8,34.9,3.52,1,7,28.0
80.8,34.9,3.52,1,8,26.36
80.8,34.9,3.52,1,9,8.37
80.8,34.9,3.52,1,10,25.62
80.8,34.9,3.52,2,7,20.49
80.8,34.9,3.52,2,9,17.73
80.8,34.9,3.52,2,10,34.08
80.8,34.9,3.52,3,5,24.7
80.8,34.9,3.52,3,6,29.7
80.8,34.9,3.52,3,8,19.78
80.8,34.9,3.52,3,9,19.52
80.8,34.9,3.52,3,10,29.82
80.8,34.9,3.52,4,7,19.66
80.8,34.9,3.52,4,8,18.44
80.8,34.9,3.52,4,10,11.67
80.8,34.9,3.52,5,6,24.01
80.8,34.9,3.52,5,9,25.3
80.8,34.9,3.52,7,8,23.31
80.8,34.9,3.52,7,10,11.97
80.8,34.9,3.52,8,10,8.62
95.2,21.98,3.44,0,1,9.42
95.2,21.98,3.44,0,2,29.27
95.2,21.98,3.44,0,3,5.92
95.2,21.98,3.44,0,5,23.5
95.2,21.98,3.44,0,7,20.2
95.2,21.98,3.44,0,8,19.14
95.2,21.98,3.44,0,9,19.84
95.2,21.98,3.44,0,10,20.56
95.2,21.98,3.44,1,2,20.01
95.2,21.98,3.44,1,3,14.03
95.2,21.98,3.44,1,5,21.07
95.2,21.98,3.44,1,7,22.73
95.2,21.98,3.44,1,8,22.16
95.2,21.98,3.44,1,9,7.18
95.2,21.98,3.44,1,10,25.12
95.2,21.98,3.44,2,7,17.12
95.2,21.98,3.44,2,9,17.53
95.2,21.98,3.44,2,10,28.16
95.2,21.98,3.44,3,5,18.48
95.2,21.98,3.44,3,6,28.95
95.2,21.98,3.44,3,8,17.81
95.2,21.98,3.44,3,9,17.07
95.2,21.98,3.44,3,10,25.59
95.2,21.98,3.44,4,7,16.21
95.2,21.98,3.44,4,8,17.0
95.2,21.98,3.44,4,10,12.39
95.2,21.98,3.44,5,6,22.03
95.2,21.98,3.44,5,9,23.54
95.2,21.98,3.44,7,8,18.33
95.2,21.98,3.44,7,10,11.87
95.2,21.98,3.44,8,10,8.7
50.1,12.23,0.64,0,1,7.08
50.1,12.23,0.64,0,2,18.41
50.1,12.23,0.64,0,3,4.39
50.1,12.23,0.64,0,5,16.06
50.1,12.23,0.64,0,7,17.0
50.1,12.23,0.64,0,8,9.43
50.1,12.23,0.64,0,9,10.69
50.1,12.23,0.64,0,10,11.7
50.1,12.23,0.64,1,2,14.05
50.1,12.23,0.64,1,3,9.8
50.1,12.23,0.64,1,5,17.22
50.1,12.23,0.64,1,7,15.1
50.1,12.23,0.64,1,8,15.35
50.1,12.23,0.64,1,9,4.22
50.1,12.23,0.64,1,10,17.26
50.1,12.23,0.64,2,7,12.39
50.1,12.23,0.64,2,9,12.54
50.1,12.23,0.64,2,10,19.83
50.1,12.23,0.64,3,5,14.59
50.1,12.23,0.64,3,6,15.69
50.1,12.23,0.64,3,8,11.2
50.1,12.23,0.64,3,9,10.83
50.1,12.23,0.64,3,10,17.33
50.1,12.23,0.64,4,7,9.87
50.1,12.23,0.64,4,8,10.67
50.1,12.23,0.64,4,10,7.34
50.1,12.23,0.64,5,6,14.84
50.1,12.23,0.64,5,9,15.94
50.1,12.23,0.64,7,8,13.11
50.1,12.23,0.64,7,10,6.7
50.1,12.23,0.64,8,10,5.32
34.1,49.41,2.89,0,1,13.97
34.1,49.41,2.89,0,2,44.71
34.1,49.41,2.89,0,3,8.42
34.1,49.41,2.89,0,5,34.18
34.1,49.41,2.89,0,7,37.14
34.1,49.41,2.89,0,8,24.84
34.1,49.41,2.89,0,9,26.24
34.1,49.41,2.89,0,10,24.18
34.1,49.41,2.89,1,2,28.8
34.1,49.41,2.89,1,3,19.95
34.1,49.41,2.89,1,5,32.44
34.1,49.41,2.89,1,7,37.19
34.1,49.41,2.89,1,8,31.96
34.1,49.41,2.89,1,9,10.44
34.1,49.41,2.89,1,10,30.87
34.1,49.41,2.89,2,7,24.19
34.1,49.41,2.89,2,9,22.69
34.1,49.41,2.89,2,10,39.6
34.1,49.41,2.89,3,5,31.92
34.1,49.41,2.89,3,6,37.64
34.1,49.41,2.89,3,8,21.25
34.1,49.41,2.89,3,9,24.94
34.1,49.41,2.89,3,10,32.33
34.1,49.41,2.89,4,7,24.38
34.1,49.41,2.89,4,8,24.74
34.1,49.41,2.89,4,10,16.69
34.1,49.41,2.89,5,6,31.57
34.1,49.41,2.89,5,9,31.04
34.1,49.41,2.89,7,8,24.68
34.1,49.41,2.89,7,10,15.87
34.1,49.41,2.89,8,10,10.92
57.0,14.67,4.51,0,1,9.26
57.0,14.67,4.51,0,2,25.83
57.0,14.67,4.51,0,3,6.99
57.0,14.67,4.51,0,5,29.54
57.0,14.67,4.51,0,7,21.58
57.0,14.67,4.51,0,8,19.52
57.0,14.67,4.51,0,9,18.51
57.0,14.67,4.51,0,10,20.79
57.0,14.67,4.51,1,2,19.0
57.0,14.67,4.51,1,3,12.0
57.0,14.67,4.51,1,5,24.68
57.0,14.67,4.51,1,7,26.79
57.0,14.67,4.51,1,8,26.33
57.0,14.67,4.51,1,9,7.35
57.0,14.67,4.51,1,10,23.9
57.0,14.67,4.51,2,7,17.11
57.0,14.67,4.51,2,9,18.63
57.0,14.67,4.51,2,10,30.42
57.0,14.67,4.51,3,5,19.85
57.0,14.67,4.51,3,6,24.89
57.0,14.67,4.51,3,8,17.51
57.0,14.67,4.51,3,9,16.4
57.0,14.67,4.51,3,10,24.1
57.0,14.67,4.51,4,7,15.69
57.0,14.67,4.51,4,8,19.2
57.0,14.67,4.51,4,10,12.74
57.0,14.67,4.51,5,6,24.79
57.0,14.67,4.51,5,9,24.05
57.0,14.67,4.51,7,8,18.38
57.0,14.67,4.51,7,10,11.14
57.0,14.67,4.51,8,10,7.55
52.2,9.31,3.92,0,1,7.78
52.2,9.31,3.92,0,2,22.09
52.2,9.31,3.92,0,3,6.86
52.2,9.31,3.92,0,5,22.64
52.2,9.31,3.92,0,7,17.2
52.2,9.31,3.92,0,8,16.04
52.2,9.31,3.92,0,9,16.64
52.2,9.31,3.92,0,10,19.96
52.2,9.31,3.92,1,2,17.4
52.2,9.31,3.92,1,3,12.02
52.2,9.31,3.92,1,5,19.77
52.2,9.31,3.92,1,7,23.18
52.2,9.31,3.92,1,8,24.5
52.2,9.31,3.92,1,9,5.97
52.2,9.31,3.92,1,10,18.81
52.2,9.31,3.92,2,7,13.51
52.2,9.31,3.92,2,9,15.07
52.2,9.31,3.92,2,10,29.71
52.2,9.31,3.92,3,5,17.32
52.2,9.31,3.92,3,6,21.96
52.2,9.31,3.92,3,8,15.26
52.2,9.31,3.92,3,9,14.49
52.2,9.31,3.92,3,10,19.89
52.2,9.31,3.92,4,7,16.45
52.2,9.31,3.92,4,8,16.86
52.2,9.31,3.92,4,10,10.08
52.2,9.31,3.92,5,6,23.9
52.2,9.31,3.92,5,9,18.62
52.2,9.31,3.92,7,8,17.63
52.2,9.31,3.92,7,10,9.64
52.2,9.31,3.92,8,10,6.93
25.5,9.21,1.96,0,1,9.24
25.5,9.21,1.96,0,2,27.59
25.5,9.21,1.96,0,3,6.23
25.5,9.21,1.96,0,5,25.23
25.5,9.21,1.96,0,7,22.59
25.5,9.21,1.96,0,8,16.63
25.5,9.21,1.96,0,9,16.64
25.5,9.21,1.96,0,10,17.85
25.5,9.21,1.96,1,2,20.02
25.5,9.21,1.96,1,3,12.78
25.5,9.21,1.96,1,5,25.03
25.5,9.21,1.96,1,7,24.89
25.5,9.21,1.96,1,8,24.21
25.5,9.21,1.96,1,9,6.69
25.5,9.21,1.96,1,10,24.26
25.5,9.21,1.96,2,7,17.61
25.5,9.21,1.96,2,9,16.87
25.5,9.21,1.96,2,10,29.09
25.5,9.21,1.96,3,5,21.45
25.5,9.21,1.96,3,6,26.85
25.5,9.21,1.96,3,8,16.15
25.5,9.21,1.96,3,9,17.2
25.5,9.21,1.96,3,10,21.78
25.5,9.21,1.96,4,7,15.17
25.5,9.21,1.96,4,8,15.68
25.5,9.21,1.96,4,10,12.33
25.5,9.21,1.96,5,6,24.81
25.5,9.21,1.96,5,9,23.77
25.5,9.21,1.96,7,8,18.46
25.5,9.21,1.96,7,10,11.08
25.5,9.21,1.96,8,10,8.03
82.9,53.97,2.54,0,1,12.74
82.9,53.97,2.54,0,2,35.23
82.9,53.97,2.54,0,3,7.04
82.9,53.97,2.54,0,5,31.13
82.9,53.97,2.54,0,7,28.83
82.9,53.97,2.54,0,8,20.49
82.9,53.97,2.54,0,9,20.36
82.9,53.97,2.54,0,10,21.67
82.9,53.97,2.54,1,2,24.06
82.9,53.97,2.54,1,3,14.84
82.9,53.97,2.54,1,5,26.86
82.9,53.97,2.54,1,7,27.16
82.9,53.97,2.54,1,8,29.69
82.9,53.97,2.54,1,9,7.29
82.9,53.97,2.54,1,10,27.51
82.9,53.97,2.54,2,7,22.67
82.9,53.97,2.54,2,9,18.31
82.9,53.97,2.54,2,10,39.6
82.9,53.97,2.54,3,5,28.48
82.9,53.97,2.54,3,6,34.66
82.9,53.97,2.54,3,8,18.88
82.9,53.97,2.54,3,9,20.66
82.9,53.97,2.54,3,10,33.63
82.9,53.97,2.54,4,7,20.57
82.9,53.97,2.54,4,8,21.98
82.9,53.97,2.54,4,10,12.1
82.9,53.97,2.54,5,6,27.11
82.9,53.97,2.54,5,9,28.25
82.9,53.97,2.54,7,8,23.39
82.9,53.97,2.54,7,10,13.27
82.9,53.97,2.54,8,10,10.5
76.7,27.02,0.19,0,1,7.87
76.7,27.02,0.19,0,2,22.65
76.7,27.02,0.19,0,3,3.76
76.7,27.02,0.19,0,5,16.75
76.7,27.02,0.19,0,7,18.82
76.7,27.02,0.19,0,8,11.88
76.7,27.02,0.19,0,9,12.99
76.7,27.02,0.19,0,10,11.2
76.7,27.02,0.19,1,2,13.61
76.7,27.02,0.19,1,3,9.41
76.7,27.02,0.19,1,5,16.95
76.7,27.02,0.19,1,7,17.58
76.7,27.02,0.19,1,8,14.89
76.7,27.02,0.19,1,9,4.76
76.7,27.02,0.19,1,10,18.37
76.7,27.02,0.19,2,7,13.05
76.7,27.02,0.19,2,9,12.29
76.7,27.02,0.19,2,10,19.66
76.7,27.02,0.19,3,5,16.45
76.7,27.02,0.19,3,6,18.2
76.7,27.02,0.19,3,8,11.8
76.7,27.02,0.19,3,9,11.06
76.7,27.02,0.19,3,10,19.8
76.7,27.02,0.19,4,7,10.62
76.7,27.02,0.19,4,8,11.08
76.7,27.02,0.19,4,10,7.51
76.7,27.02,0.19,5,6,13.5
76.7,27.02,0.19,5,9,16.77
76.7,27.02,0.19,7,8,12.27
76.7,27.02,0.19,7,10,8.36
76.7,27.02,0.19,8,10,5.66
39.5,23.3,2.83,0,1,9.93
39.5,23.3,2.83,0,2,23.64
39.5,23.3,2.83,0,3,6.54
39.5,23.3,2.83,0,5,24.83
39.5,23.3,2.83,0,7,23.71
39.5,23.3,2.83,0,8,14.91
39.5,23.3,2.83,0,9,18.66
39.5,23.3,2.83,0,10,16.99
39.5,23.3,2.83,1,2,21.02
39.5,23.3,2.83,1,3,12.72
39.5,23.3,2.83,1,5,23.37
39.5,23.3,2.83,1,7,24.94
39.5,23.3,2.83,1,8,23.69
39.5,23.3,2.83,1,9,6.4
39.5,23.3,2.83,1,10,20.2
39.5,23.3,2.83,2,7,17.95
39.5,23.3,2.83,2,9,15.58
39.5,23.3,2.83,2,10,27.34
39.5,23.3,2.83,3,5,19.1
39.5,23.3,2.83,3,6,26.95
39.5,23.3,2.83,3,8,14.85
39.5,23.3,2.83,3,9,16.36
39.5,23.3,2.83,3,10,22.5
39.5,23.3,2.83,4,7,15.77
39.5,23.3,2.83,4,8,17.4
39.5,23.3,2.83,4,10,10.62
39.5,23.3,2.83,5,6,19.65
39.5,23.3,2.83,5,9,21.18
39.5,23.3,2.83,7,8,17.26
39.5,23.3,2.83,7,10,11.06
39.5,23.3,2.83,8,10,7.29
21.4,45.65,0.67,0,1,12.35
21.4,45.65,0.67,0,2,35.86
21.4,45.65,0.67,0,3,6.47
21.4,45.65,0.67,0,5,25.56
21.4,45.65,0.67,0,7,30.11
21.4,45.65,0.67,0,8,17.35
21.4,45.65,0.67,0,9,17.04
21.4,45.65,0.67,0,10,16.85
21.4,45.65,0.67,1,2,22.37
21.4,45.65,0.67,1,3,15.91
21.4,45.65,0.67,1,5,27.09
21.4,45.65,0.67,1,7,25.72
21.4,45.65,0.67,1,8,22.35
21.4,45.65,0.67,1,9,6.56
21.4,45.65,0.67,1,10,24.12
21.4,45.65,0.67,2,7,24.47
21.4,45.65,0.67,2,9,16.76
21.4,45.65,0.67,2,10,28.59
21.4,45.65,0.67,3,5,26.1
21.4,45.65,0.67,3,6,29.49
21.4,45.65,0.67,3,8,16.48
21.4,45.65,0.67,3,9,19.92
21.4,45.65,0.67,3,10,31.08
21.4,45.65,0.67,4,7,17.9
21.4,45.65,0.67,4,8,18.18
21.4,45.65,0.67,4,10,11.52
21.4,45.65,0.67,5,6,22.85
21.4,45.65,0.67,5,9,26.82
21.4,45.65,0.67,7,8,20.84
21.4,45.65,0.67,7,10,11.29
21.4,45.65,0.67,8,10,8.67
74.4,27.33,2.62,0,1,8.62
74.4,27.33,2.62,0,2,28.63
74.4,27.33,2.62,0,3,6.53
74.4,27.33,2.62,0,5,25.45
74.4,27.33,2.62,0,7,24.53
74.4,27.33,2.62,0,8,16.03
74.4,27.33,2.62,0,9,16.34
74.4,27.33,2.62,0,10,17.43
74.4,27.33,2.62,1,2,19.03
74.4,27.33,2.62,1,3,13.95
74.4,27.33,2.62,1,5,24.36
74.4,27.33,2.62,1,7,25.5
74.4,27.33,2.62,1,8,24.08
74.4,27.33,2.62,1,9,6.05
74.4,27.33,2.62,1,10,21.03
74.4,27.33,2.62,2,7,18.53
74.4,27.33,2.62,2,9,17.88
74.4,27.33,2.62,2,10,31.59
74.4,27.33,2.62,3,5,20.0
74.4,27.33,2.62,3,6,27.61
74.4,27.33,2.62,3,8,15.02
74.4,27.33,2.62,3,9,16.34
74.4,27.33,2.62,3,10,25.37
74.4,27.33,2.62,4,7,15.95
74.4,27.33,2.62,4,8,17.76
74.4,27.33,2.62,4,10,11.66
74.4,27.33,2.62,5,6,23.41
74.4,27.33,2.62,5,9,20.56
74.4,27.33,2.62,7,8,19.22
74.4,27.33,2.62,7,10,10.64
74.4,27.33,2.62,8,10,7.27
55.3,34.05,2.3,0,1,10.7
55.3,34.05,2.3,0,2,29.49
55.3,34.05,2.3,0,3,5.59
55.3,34.05,2.3,0,5,23.61
55.3,34.05,2.3,0,7,22.24
55.3,34.05,2.3,0,8,17.7
55.3,34.05,2.3,0,9,19.88
55.3,34.05,2.3,0,10,15.93
55.3,34.05,2.3,1,2,18.94
55.3,34.05,2.3,1,3,14.65
55.3,34.05,2.3,1,5,24.03
55.3,34.05,2.3,1,7,25.48
55.3,34.05,2.3,1,8,25.13
55.3,34.05,2.3,1,9,6.75
55.3,34.05,2.3,1,10,24.57
55.3,34.05,2.3,2,7,18.3
55.3,34.05,2.3,2,9,18.17
55.3,34.05,2.3,2,10,30.53
55.3,34.05,2.3,3,5,22.22
55.3,34.05,2.3,3,6,28.46
55.3,34.05,2.3,3,8,15.04
55.3,34.05,2.3,3,9,15.2
55.3,34.05,2.3,3,10,25.45
55.3,34.05,2.3,4,7,17.36
55.3,34.05,2.3,4,8,18.88
55.3,34.05,2.3,4,10,11.79
55.3,34.05,2.3,5,6,23.48
55.3,34.05,2.3,5,9,23.65
55.3,34.05,2.3,7,8,16.83
55.3,34.05,2.3,7,10,10.97
55.3,34.05,2.3,8,10,8.01
89.8,18.28,3.82,0,1,8.3
89.8,18.28,3.82,0,2,24.48
89.8,18.28,3.82,0,3,7.25
89.8,18.28,3.82,0,5,23.86
89.8,18.28,3.82,0,7,19.91
89.8,18.28,3.82,0,8,19.22
89.8,18.28,3.82,0,9,19.59
89.8,18.28,3.82,0,10,20.93
89.8,18.28,3.82,1,2,19.71
89.8,18.28,3.82,1,3,12.54
89.8,18.28,3.82,1,5,22.58
89.8,18.28,3.82,1,7,26.58
89.8,18.28,3.82,1,8,22.52
89.8,18.28,3.82,1,9,7.21
89.8,18.28,3.82,1,10,23.92
89.8,18.28,3.82,2,7,16.84
89.8,18.28,3.82,2,9,15.89
89.8,18.28,3.82,2,10,30.01
89.8,18.28,3.82,3,5,20.14
89.8,18.28,3.82,3,6,29.0
89.8,18.28,3.82,3,8,16.4
89.8,18.28,3.82,3,9,16.57
89.8,18.28,3.82,3,10,23.5
89.8,18.28,3.82,4,7,17.61
89.8,18.28,3.82,4,8,17.77
89.8,18.28,3.82,4,10,12.49
89.8,18.28,3.82,5,6,25.14
89.8,18.28,3.82,5,9,20.41
89.8,18.28,3.82,7,8,18.68
89.8,18.28,3.82,7,10,9.8
89.8,18.28,3.82,8,10,8.02
41.0,59.48,4.57,0,1,15.99
41.0,59.48,4.57,0,2,44.45
41.0,59.48,4.57,0,3,9.82
41.0,59.48,4.57,0,5,35.68
41.0,59.48,4.57,0,7,40.8
41.0,59.48,4.57,0,8,26.2
41.0,59.48,4.57,0,9,27.69
41.0,59.48,4.57,0,10,29.73
41.0,59.48,4.57,1,2,31.02
41.0,59.48,4.57,1,3,23.32
41.0,59.48,4.57,1,5,35.64
41.0,59.48,4.57,1,7,36.58
41.0,59.48,4.57,1,8,38.75
41.0,59.48,4.57,1,9,11.21
41.0,59.48,4.57,1,10,37.67
41.0,59.48,4.57,2,7,30.26
41.0,59.48,4.57,2,9,25.57
41.0,59.48,4.57,2,10,46.88
41.0,59.48,4.57,3,5,36.65
41.0,59.48,4.57,3,6,42.27
41.0,59.48,4.57,3,8,26.09
41.0,59.48,4.57,3,9,23.73
41.0,59.48,4.57,3,10,37.09
41.0,59.48,4.57,4,7,26.42
41.0,59.48,4.57,4,8,27.08
41.0,59.48,4.57,4,10,17.55
41.0,59.48,4.57,5,6,34.57
41.0,59.48,4.57,5,9,34.85
41.0,59.48,4.57,7,8,30.39
41.0,59.48,4.57,7,10,18.88
41.0,59.48,4.57,8,10,12.52
61.1,32.48,4.21,0,1,11.39
61.1,32.48,4.21,0,2,30.96
61.1,32.48,4.21,0,3,7.21
61.1,32.48,4.21,0,5,31.94
61.1,32.48,4.21,0,7,27.92
61.1,32.48,4.21,0,8,22.01
61.1,32.48,4.21,0,9,21.94
61.1,32.48,4.21,0,10,23.15
61.1,32.48,4.21,1,2,24.33
61.1,32.48,4.21,1,3,14.73
61.1,32.48,4.21,1,5,25.18
61.1,32.48,4.21,1,7,29.74
61.1,32.48,4.21,1,8,28.99
61.1,32.48,4.21,1,9,8.11
61.1,32.48,4.21,1,10,25.99
61.1,32.48,4.21,2,7,19.26
61.1,32.48,4.21,2,9,18.88
61.1,32.48,4.21,2,10,37.01
61.1,32.48,4.21,3,5,23.65
61.1,32.48,4.21,3,6,35.52
61.1,32.48,4.21,3,8,20.83
61.1,32.48,4.21,3,9,17.79
61.1,32.48,4.21,3,10,28.18
61.1,32.48,4.21,4,7,19.27
61.1,32.48,4.21,4,8,21.54
61.1,32.48,4.21,4,10,12.83
61.1,32.48,4.21,5,6,25.16
61.1,32.48,4.21,5,9,25.77
61.1,32.48,4.21,7,8,23.64
61.1,32.48,4.21,7,10,11.83
61.1,32.48,4.21,8,10,9.53
32.9,52.92,3.03,0,1,14.91
32.9,52.92,3.03,0,2,41.16
32.9,52.92,3.03,0,3,9.5
32.9,52.92,3.03,0,5,33.49
32.9,52.92,3.03,0,7,39.71
32.9,52.92,3.03,0,8,27.2
32.9,52.92,3.03,0,9,24.85
32.9,52.92,3.03,0,10,25.01
32.9,52.92,3.03,1,2,32.26
32.9,52.92,3.03,1,3,20.29
32.9,52.92,3.03,1,5,36.58
32.9,52.92,3.03,1,7,37.37
32.9,52.92,3.03,1,8,32.03
32.9,52.92,3.03,1,9,9.7
32.9,52.92,3.03,1,10,32.0
32.9,52.92,3.03,2,7,25.6
32.9,52.92,3.03,2,9,22.62
32.9,52.92,3.03,2,10,46.9
32.9,52.92,3.03,3,5,33.06
32.9,52.92,3.03,3,6,42.48
32.9,52.92,3.03,3,8,22.11
32.9,52.92,3.03,3,9,21.62
32.9,52.92,3.03,3,10,40.05
32.9,52.92,3.03,4,7,21.82
32.9,52.92,3.03,4,8,26.16
32.9,52.92,3.03,4,10,17.52
32.9,52.92,3.03,5,6,28.44
32.9,52.92,3.03,5,9,35.1
32.9,52.92,3.03,7,8,24.25
32.9,52.92,3.03,7,10,16.9
32.9,52.92,3.03,8,10,11.6
99.1,0.26,0.23,0,1,5.87
99.1,0.26,0.23,0,2,14.77
99.1,0.26,0.23,0,3,3.48
99.1,0.26,0.23,0,5,14.4
99.1,0.26,0.23,0,7,12.86
99.1,0.26,0.23,0,8,8.35
99.1,0.26,0.23,0,9,10.44
99.1,0.26,0.23,0,10,10.99
99.1,0.26,0.23,1,2,11.29
99.1,0.26,0.23,1,3,8.66
99.1,0.26,0.23,1,5,15.43
99.1,0.26,0.23,1,7,14.33
99.1,0.26,0.23,1,8,12.18
99.1,0.26,0.23,1,9,3.64
99.1,0.26,0.23,1,10,15.03
99.1,0.26,0.23,2,7,10.48
99.1,0.26,0.23,2,9,12.34
99.1,0.26,0.23,2,10,14.59
99.1,0.26,0.23,3,5,11.33
99.1,0.26,0.23,3,6,11.91
99.1,0.26,0.23,3,8,10.35
99.1,0.26,0.23,3,9,10.59
99.1,0.26,0.23,3,10,12.67
99.1,0.26,0.23,4,7,8.8
99.1,0.26,0.23,4,8,9.77
99.1,0.26,0.23,4,10,7.01
99.1,0.26,0.23,5,6,13.53
99.1,0.26,0.23,5,9,13.38
99.1,0.26,0.23,7,8,11.05
99.1,0.26,0.23,7,10,5.95
99.1,0.26,0.23,8,10,4.79
89.5,36.11,0.46,0,1,8.26
89.5,36.11,0.46,0,2,26.43
89.5,36.11,0.46,0,3,4.42
89.5,36.11,0.46,0,5,17.58
89.5,36.11,0.46,0,7,19.68
89.5,36.11,0.46,0,8,13.62
89.5,36.11,0.46,0,9,14.63
89.5,36.11,0.46,0,10,11.85
89.5,36.11,0.46,1,2,17.5
89.5,36.11,0.46,1,3,10.35
89.5,36.11,0.46,1,5,17.05
89.5,36.11,0.46,1,7,19.5
89.5,36.11,0.46,1,8,15.77
89.5,36.11,0.46,1,9,5.22
89.5,36.11,0.46,1,10,19.61
89.5,36.11,0.46,2,7,14.32
89.5,36.11,0.46,2,9,12.79
89.5,36.11,0.46,2,10,21.07
89.5,36.11,0.46,3,5,17.47
89.5,36.11,0.46,3,6,19.5
89.5,36.11,0.46,3,8,11.17
89.5,36.11,0.46,3,9,12.42
89.5,36.11,0.46,3,10,20.32
89.5,36.11,0.46,4,7,12.69
89.5,36.11,0.46,4,8,12.41
89.5,36.11,0.46,4,10,7.9
89.5,36.11,0.46,5,6,13.84
89.5,36.11,0.46,5,9,19.08
89.5,36.11,0.46,7,8,14.53
89.5,36.11,0.46,7,10,8.48
89.5,36.11,0.46,8,10,6.25
70.2,24.31,3.73,0,1,9.84
70.2,24.31,3.73,0,2,26.78
70.2,24.31,3.73,0,3,7.48
70.2,24.31,3.73,0,5,24.81
70.2,24.31,3.73,0,7,23.49
70.2,24.31,3.73,0,8,18.57
70.2,24.31,3.73,0,9,19.87
70.2,24.31,3.73,0,10,18.64
70.2,24.31,3.73,1,2,20.26
70.2,24.31,3.73,1,3,14.72
70.2,24.31,3.73,1,5,23.34
70.2,24.31,3.73,1,7,28.2
70.2,24.31,3.73,1,8,25.51
70.2,24.31,3.73,1,9,7.09
70.2,24.31,3.73,1,10,22.52
70.2,24.31,3.73,2,7,19.46
70.2,24.31,3.73,2,9,16.11
70.2,24.31,3.73,2,10,33.29
70.2,24.31,3.73,3,5,19.81
70.2,24.31,3.73,3,6,27.5
70.2,24.31,3.73,3,8,17.55
70.2,24.31,3.73,3,9,15.79
70.2,24.31,3.73,3,10,23.3
70.2,24.31,3.73,4,7,17.4
70.2,24.31,3.73,4,8,20.34
70.2,24.31,3.73,4,10,12.79
70.2,24.31,3.73,5,6,26.27
70.2,24.31,3.73,5,9,24.76
70.2,24.31,3.73,7,8,20.09
70.2,24.31,3.73,7,10,12.36
70.2,24.31,3.73,8,10,7.64
75.2,43.61,2.61,0,1,11.95
75.2,43.61,2.61,0,2,33.79
75.2,43.61,2.61,0,3,6.31
75.2,43.61,2.61,0,5,28.98
75.2,43.61,2.61,0,7,29.48
75.2,43.61,2.61,0,8,19.59
75.2,43.61,2.61,0,9,21.06
75.2,43.61,2.61,0,10,19.51
75.2,43.61,2.61,1,2,25.59
75.2,43.61,2.61,1,3,14.7
75.2,43.61,2.61,1,5,23.12
75.2,43.61,2.61,1,7,26.52
75.2,43.61,2.61,1,8,26.91
75.2,43.61,2.61,1,9,8.09
75.2,43.61,2.61,1,10,29.29
75.2,43.61,2.61,2,7,19.49
75.2,43.61,2.61,2,9,17.03
75.2,43.61,2.61,2,10,34.45
75.2,43.61,2.61,3,5,22.19
75.2,43.61,2.61,3,6,29.28
75.2,43.61,2.61,3,8,16.4
75.2,43.61,2.61,3,9,18.76
75.2,43.61,2.61,3,10,26.13
75.2,43.61,2.61,4,7,18.14
75.2,43.61,2.61,4,8,20.75
75.2,43.61,2.61,4,10,11.78
75.2,43.61,2.61,5,6,25.06
75.2,43.61,2.61,5,9,27.86
75.2,43.61,2.61,7,8,20.19
75.2,43.61,2.61,7,10,12.61
75.2,43.61,2.61,8,10,9.33
58.5,31.49,4.94,0,1,11.66
58.5,31.49,4.94,0,2,33.36
58.5,31.49,4.94,0,3,7.83
